Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle.Cabin.Infotainment.HMI.Brightness,actuator,float,,percent,0,100,"Brightness of the HMI, relative to supported range. 0 = Lowest brightness possible. 100 = Maximum Brightness possible.","The value 0 does not necessarily correspond to a turned off HMI, as it may not be allowed/supported to turn off the HMI completely.",,,
Vehicle.Cabin.Infotainment.HMI.DayNightMode,actuator,string,,,,,Current display theme,,"['DAY', 'NIGHT']",,
Vehicle.Cabin.Infotainment.HMI.IsScreenAlwaysOn,actuator,boolean,,,,,Used to prevent the screen going black if no action placed.,,,,
Vehicle.Cabin.Infotainment.HMI.LastActionTime,sensor,string,,iso8601,,,"Time for last hmi action, formatted according to ISO 8601 with UTC time zone.",,,,
Vehicle.Cabin.Infotainment.HMI.DisplayOffDuration,actuator,uint16,,s,,,Duration in seconds before the display is turned off. Value shall be 0 if screen never shall turn off.,"Display shall be turned off at HMI.LastActionTime + HMI.DisplayOffDuration, unless HMI.IsScreenAlwaysOn==True.",,,
Vehicle.Cabin.Infotainment.SmartphoneProjection,branch,,,,,,All smartphone projection actions.,Smartphone projection exposes or controls specific applications on the Smartphone on the vehicle infotainment system.,,,[]
Vehicle.Cabin.Infotainment.SmartphoneProjection.Active,actuator,string,,,,,Projection activation info.,NONE indicates that projection is not supported.,"['NONE', 'ACTIVE', 'INACTIVE']",,
Vehicle.Cabin.Infotainment.SmartphoneProjection.Source,actuator,string,,,,,Connectivity source selected for projection.,Smartphone projection exposes or controls specific applications on the Smartphone on the vehicle infotainment system.,"['USB', 'BLUETOOTH', 'WIFI']",,
Vehicle.Cabin.Infotainment.SmartphoneProjection.SupportedMode,attribute,string[],,,,,Supportable list for projection.,,"['ANDROID_AUTO', 'APPLE_CARPLAY', 'MIRROR_LINK', 'OTHER']",,
Vehicle.Cabin.Infotainment.SmartphoneScreenMirroring,branch,,,,,,All smartphone screen mirroring actions.,Smartphone screen mirroring mirrors the whole screen of the Smartphone on the vehicle infotainment system.,,,[]
Vehicle.Cabin.Infotainment.SmartphoneScreenMirroring.Active,actuator,string,,,,,Mirroring activation info.,NONE indicates that mirroring is not supported.,"['NONE', 'ACTIVE', 'INACTIVE']",,
Vehicle.Cabin.Infotainment.SmartphoneScreenMirroring.Source,actuator,string,,,,,Connectivity source selected for mirroring.,,"['USB', 'BLUETOOTH', 'WIFI']",,
Vehicle.Cabin.Infotainment.PowerOptimizeLevel,actuator,uint8,,,0,10,"Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.",,,,
Vehicle.Cabin.Infotainment.IsAutoPowerOptimize,actuator,boolean,,,,,"Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.",,,,
Vehicle.Cabin.Sunroof,branch,,,,,,Sun roof status.,,,,[]
Vehicle.Cabin.Sunroof.Position,sensor,int8,,percent,-100,100,Sunroof position. 0 = Fully closed 100 = Fully opened. -100 = Fully tilted.,,,,
Vehicle.Cabin.Sunroof.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or shade.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN', 'TILT_UP', 'TILT_DOWN']",,
Vehicle.Cabin.Sunroof.Shade,branch,,,,,,"Sun roof shade status. Open = Retracted, Closed = Deployed. Start position for Sunroof.Shade is Open/Retracted.",,,,[]
Vehicle.Cabin.Sunroof.Shade.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Cabin.Sunroof.Shade.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Cabin.Sunroof.Shade.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Cabin.RearviewMirror,branch,,,,,,Rear-view mirror.,,,,[]
Vehicle.Cabin.RearviewMirror.DimmingLevel,actuator,uint8,,percent,,100,Dimming level of rear-view mirror. 0 = Undimmed. 100 = Fully dimmed.,,,,
Vehicle.Cabin.Light,branch,,,,,,Light that is part of the Cabin.,"V4.0 branch renamed from ""Lights"" to ""Light"" to comply with singular naming of entities. Use SingleConfigurableLight.vspec to describe interior lights that can be configured.",,,[]
Vehicle.Cabin.Light.IsGloveBoxOn,actuator,boolean,,,,,Is glove box light on,,,,
Vehicle.Cabin.Light.IsDomeOn,actuator,boolean,,,,,Is central dome light on,,,,
Vehicle.Cabin.Light.PerceivedAmbientLight,sensor,uint8,,percent,0,100,"The percentage of ambient light that is measured (e.g., by a sensor) inside the cabin. 0 = No ambient light. 100 = Full brightness.","V4.0 named changed from ""AmbientLight"" to ""PerceivedAmbientLight"". This is a read-only property that refers to the pre-existing light (e.g., natural light). If you are looking for the in-cabin decorative lights that sometimes are also called ""AmbientLights"", please refer to the branch Vehicle.Cabin.Light.AmbientLight.",,,
Vehicle.Cabin.Light.Spotlight,branch,,,,,,Spotlight for a specific area in the vehicle.,,,,"['Row[1,4]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Light.Spotlight.IsLightOn,actuator,boolean,,,,,"Indicates whether the light is turned on. True = On, False = Off.",,,,
Vehicle.Cabin.Light.Spotlight.Intensity,actuator,uint8,,percent,1,100,"How much of the maximum possible brightness of the light is used. 1 = Maximum attenuation, 100 = No attenuation (i.e. full brightness).",Minimum value cannot be zero as on/off is controlled by the actuator IsLightOn. V4.0 moved from Cabin.Lights.AmbientLight.Intensity to enable individual control of lights via the SingleConfigurableLight.vspec.,,,
Vehicle.Cabin.Light.Spotlight.Color,actuator,string,,,,,"Hexadecimal color code represented as a 3-byte RGB (i.e. Red, Green, and Blue) value preceded by a hash symbol ""#"". Allowed range ""#000000"" to ""#FFFFFF"".","For example; ""#C0C0C0"" = Silver, ""#FFD700"" = Gold, ""#000000"" = Black, ""#FFFFFF"" = White, etc.",,,
Vehicle.Cabin.Light.AmbientLight,branch,,,,,,"Decorative coloured light inside the cabin, usually mounted on the door, ceiling, etc.",,,,"['Row[1,2]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Light.AmbientLight.IsLightOn,actuator,boolean,,,,,"Indicates whether the light is turned on. True = On, False = Off.",,,,
Vehicle.Cabin.Light.AmbientLight.Intensity,actuator,uint8,,percent,1,100,"How much of the maximum possible brightness of the light is used. 1 = Maximum attenuation, 100 = No attenuation (i.e. full brightness).",Minimum value cannot be zero as on/off is controlled by the actuator IsLightOn. V4.0 moved from Cabin.Lights.AmbientLight.Intensity to enable individual control of lights via the SingleConfigurableLight.vspec.,,,
Vehicle.Cabin.Light.AmbientLight.Color,actuator,string,,,,,"Hexadecimal color code represented as a 3-byte RGB (i.e. Red, Green, and Blue) value preceded by a hash symbol ""#"". Allowed range ""#000000"" to ""#FFFFFF"".","For example; ""#C0C0C0"" = Silver, ""#FFD700"" = Gold, ""#000000"" = Black, ""#FFFFFF"" = White, etc.",,,
Vehicle.Cabin.Light.InteractiveLightBar,branch,,,,,,"Decorative coloured light bar that supports effects, usually mounted on the dashboard (e.g. BMW i7 Interactive bar).",,,,[]
Vehicle.Cabin.Light.InteractiveLightBar.Effect,actuator,string,,,,,Light effect selection from a predefined set of allowed values.,Default and allowed values are OEM-specific and should be defined accordingly (e.g. with the use of overlays).,,,
Vehicle.Cabin.Light.InteractiveLightBar.IsLightOn,actuator,boolean,,,,,"Indicates whether the light is turned on. True = On, False = Off.",,,,
Vehicle.Cabin.Light.InteractiveLightBar.Intensity,actuator,uint8,,percent,1,100,"How much of the maximum possible brightness of the light is used. 1 = Maximum attenuation, 100 = No attenuation (i.e. full brightness).",Minimum value cannot be zero as on/off is controlled by the actuator IsLightOn. V4.0 moved from Cabin.Lights.AmbientLight.Intensity to enable individual control of lights via the SingleConfigurableLight.vspec.,,,
Vehicle.Cabin.Light.InteractiveLightBar.Color,actuator,string,,,,,"Hexadecimal color code represented as a 3-byte RGB (i.e. Red, Green, and Blue) value preceded by a hash symbol ""#"". Allowed range ""#000000"" to ""#FFFFFF"".","For example; ""#C0C0C0"" = Silver, ""#FFD700"" = Gold, ""#000000"" = Black, ""#FFFFFF"" = White, etc.",,,
Vehicle.Cabin.Door,branch,,,,,,"All doors, including windows and switches.",,,,"['Row[1,2]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Door.Window,branch,,,,,,Door window status. Start position for Window is Closed.,,,,[]
Vehicle.Cabin.Door.Window.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Cabin.Door.Window.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Cabin.Door.Window.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Cabin.Door.IsChildLockActive,sensor,boolean,,,,,Is door child lock active. True = Door cannot be opened from inside. False = Door can be opened from inside.,,,,
Vehicle.Cabin.Door.Shade,branch,,,,,,"Side window shade. Open = Retracted, Closed = Deployed. Start position for Shade is Open/Retracted.",,,,[]
Vehicle.Cabin.Door.Shade.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Cabin.Door.Shade.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Cabin.Door.Shade.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Cabin.Door.IsLocked,actuator,boolean,,,,,Is item locked or unlocked. True = Locked. False = Unlocked.,,,,
Vehicle.Cabin.Door.IsOpen,actuator,boolean,,,,,Is item open or closed? True = Fully or partially open. False = Fully closed.,,,,
Vehicle.Cabin.Door.Position,actuator,uint8,,percent,0,100,Item position. 0 = Start position 100 = End position.,Relationship between Open/Close and Start/End position is item dependent.,,,
Vehicle.Cabin.Door.Switch,actuator,string,,,,,"Switch controlling sliding action such as window, sunroof, or blind.",,"['INACTIVE', 'CLOSE', 'OPEN', 'ONE_SHOT_CLOSE', 'ONE_SHOT_OPEN']",,
Vehicle.Cabin.DoorCount,attribute,uint8,,,,,Number of doors in vehicle.,,,4,
Vehicle.Cabin.IsWindowChildLockEngaged,actuator,boolean,,,,,Is window child lock engaged. True = Engaged. False = Disengaged.,"Window child lock refers to the functionality to disable the move window button next to most windows, so that they only can be operated by the driver.",,,
Vehicle.Cabin.Seat,branch,,,,,,All seats.,,,,"['Row[1,2]', ['DriverSide', 'Middle', 'PassengerSide']]"
Vehicle.Cabin.Seat.IsOccupied,sensor,boolean,,,,,Does the seat have a passenger in it.,,,,
Vehicle.Cabin.Seat.Occupant,branch,,v5.0 - use data from Vehicle.Occupant.,,,,Occupant data.,,,,[]
Vehicle.Cabin.Seat.Occupant.Identifier,branch,,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Identifier attributes based on OAuth 2.0.,,,,[]
Vehicle.Cabin.Seat.Occupant.Identifier.Subject,sensor,string,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Subject for the authentication of the occupant e.g. UserID 7331677.,,,,
Vehicle.Cabin.Seat.Occupant.Identifier.Issuer,sensor,string,v5.0 - use data from Vehicle.Occupant.*.*.Identifier.,,,,Unique Issuer for the authentication of the occupant e.g. https://accounts.funcorp.com.,,,,
Vehicle.Cabin.Seat.IsBelted,sensor,boolean,,,,,Is the belt engaged.,,,,
Vehicle.Cabin.Seat.SeatBeltHeight,actuator,uint16,,mm,,,Seat belt position on vehicle z-axis. Position is relative within available movable range of the seat belt. 0 = Lowermost position supported.,,,,
Vehicle.Cabin.Seat.Massage,actuator,uint8,v5.0 - refactored to Seat.MassageLevel,percent,0,100,Seat massage level. 0 = off. 100 = max massage.,,,,
Vehicle.Cabin.Seat.MassageLevel,actuator,uint8,,percent,0,100,Seat massage level. 0 = off. 100 = max massage.,,,,
Vehicle.Cabin.Seat.Position,actuator,uint16,,mm,0,,Seat position on vehicle x-axis. Position is relative to the frontmost position supported by the seat. 0 = Frontmost position supported.,,,,
Vehicle.Cabin.Seat.Height,actuator,uint16,,mm,0,,Seat position on vehicle z-axis. Position is relative within available movable range of the seating. 0 = Lowermost position supported.,,,,
Vehicle.Cabin.Seat.Tilt,actuator,float,,degrees,,,"Tilting of seat (seating and backrest) relative to vehicle x-axis. 0 = seat bottom is flat, seat bottom and vehicle x-axis are parallel. Positive degrees = seat tilted backwards, seat x-axis tilted upward, seat z-axis is tilted backward.","In VSS it is assumed that tilting a seat affects both seating (seat bottom) and backrest, i.e. the angle between seating and backrest will not be affected when changing Tilt.",,,
Vehicle.Cabin.Seat.Backrest,branch,,,,,,Describes signals related to the backrest of the seat.,,,,[]
Vehicle.Cabin.Seat.Backrest.Recline,actuator,float,,degrees,,,Backrest recline compared to seat z-axis (seat vertical axis). 0 degrees = Upright/Vertical backrest. Negative degrees for forward recline. Positive degrees for backward recline.,Seat z-axis depends on seat tilt. This means that movement of backrest due to seat tilting will not affect Backrest.Recline as long as the angle between Seating and Backrest are constant. Absolute recline relative to vehicle z-axis can be calculated as Tilt + Backrest.Recline.,,,
Vehicle.Cabin.Seat.Backrest.Lumbar,branch,,v5.0 - nested properties moved to Seat.Backrest.<Property>.,,,,Adjustable lumbar support mechanisms in seats allow the user to change the seat back shape.,,,,[]
Vehicle.Cabin.Seat.Backrest.Lumbar.Support,actuator,float,v5.0 - refactored to Seat.Backrest.LumbarSupport,percent,0,100,Lumbar support (in/out position). 0 = Innermost position. 100 = Outermost position.,,,,
Vehicle.Cabin.Seat.Backrest.Lumbar.Height,actuator,uint8,v5.0 - refactored to Seat.Backrest.LumbarHeight,mm,0,,Height of lumbar support. Position is relative within available movable range of the lumbar support. 0 = Lowermost position supported.,,,,
Vehicle.Cabin.Seat.Backrest.LumbarSupport,actuator,float,,percent,0,100,Lumbar support (in/out position). 0 = Innermost position. 100 = Outermost position.,,,,
Vehicle.Cabin.Seat.Backrest.LumbarHeight,actuator,uint8,,mm,0,,Height of lumbar support. Position is relative within available movable range of the lumbar support. 0 = Lowermost position supported.,,,,
Vehicle.Cabin.Seat.Backrest.SideBolster,branch,,v5.0 - nested properties moved to Seat.Backrest.<Property>.,,,,Backrest side bolster (lumbar side support) settings.,,,,[]
Vehicle.Cabin.Seat.Backrest.SideBolster.Support,actuator,float,v5.0 - refactored to Seat.Backrest.SideBolsterSupport,percent,0,100,Side bolster support. 0 = Minimum support (widest side bolster setting). 100 = Maximum support.,,,,
Vehicle.Cabin.Seat.Backrest.SideBolsterSupport,actuator,float,,percent,0,100,Side bolster support. 0 = Minimum support (widest side bolster setting). 100 = Maximum support.,,,,
Vehicle.Cabin.Seat.Backrest.IsReclineForwardSwitchEngaged,actuator,boolean,,,,,Backrest recline forward switch engaged.,Affects the property (SingleSeat.Backrest.Recline).,,,
Vehicle.Cabin.Seat.Backrest.IsReclineBackwardSwitchEngaged,actuator,boolean,,,,,Backrest recline backward switch engaged.,Affects the property (SingleSeat.Backrest.Recline).,,,
Vehicle.Cabin.Seat.Backrest.IsMoreLumbarSupportSwitchEngaged,actuator,boolean,,,,,Is switch for more lumbar support engaged.,Affects the property (SingleSeat.Backrest.LumbarSupport).,,,
Vehicle.Cabin.Seat.Backrest.IsLessLumbarSupportSwitchEngaged,actuator,boolean,,,,,Is switch for less lumbar support engaged.,Affects the property (SingleSeat.Backrest.LumbarSupport).,,,
Vehicle.Cabin.Seat.Backrest.IsLumbarUpSwitchEngaged,actuator,boolean,,,,,Lumbar up switch engaged.,Affects the property (SingleSeat.Backrest.LumbarSupport).,,,
Vehicle.Cabin.Seat.Backrest.IsLumbarDownSwitchEngaged,actuator,boolean,,,,,Lumbar down switch engaged.,Affects the property (SingleSeat.Backrest.LumbarSupport).,,,
Vehicle.Cabin.Seat.Backrest.IsMoreSideBolsterSupportSwitchEngaged,actuator,boolean,,,,,Is switch for more side bolster support engaged.,Affects the property (SingleSeat.Backrest.SideBolsterSupport).,,,
Vehicle.Cabin.Seat.Backrest.IsLessSideBolsterSupportSwitchEngaged,actuator,boolean,,,,,Is switch for less side bolster support engaged.,Affects the property (SingleSeat.Backrest.SideBolsterSupport).,,,
Vehicle.Cabin.Seat.Seating,branch,,,,,,Describes signals related to the seat bottom of the seat.,Seating is here considered as the part of the seat that supports the thighs. Additional cushions (if any) for support of lower legs is not covered by this branch.,,,[]
Vehicle.Cabin.Seat.Seating.Length,actuator,uint16,,mm,0,,Length adjustment of seating. 0 = Adjustable part of seating in rearmost position (Shortest length of seating).,,,,
Vehicle.Cabin.Seat.Seating.IsForwardSwitchEngaged,actuator,boolean,,,,,Is switch to increase seating length engaged.,,,,
Vehicle.Cabin.Seat.Seating.IsBackwardSwitchEngaged,actuator,boolean,,,,,Is switch to decrease seating length engaged.,Affects the property (SingleSeat.Seating.Length).,,,
Vehicle.Cabin.Seat.Headrest,branch,,,,,,Headrest settings.,,,,[]
Vehicle.Cabin.Seat.Headrest.Height,actuator,uint8,,mm,0,,Position of headrest relative to movable range of the head rest. 0 = Bottommost position supported.,,,,
Vehicle.Cabin.Seat.Headrest.Angle,actuator,float,,degrees,,,"Headrest angle, relative to backrest, 0 degrees if parallel to backrest, Positive degrees = tilted forward.",,,,
Vehicle.Cabin.Seat.Headrest.IsUpSwitchEngaged,actuator,boolean,,,,,Head rest up switch engaged.,Affects the property (SingleSeat.Headrest.Height).,,,
Vehicle.Cabin.Seat.Headrest.IsDownSwitchEngaged,actuator,boolean,,,,,Head rest down switch engaged.,Affects the property (SingleSeat.Headrest.Height).,,,
Vehicle.Cabin.Seat.Headrest.IsForwardSwitchEngaged,actuator,boolean,,,,,Head rest forward switch engaged.,Affects the property (SingleSeat.Headrest.Angle).,,,
Vehicle.Cabin.Seat.Headrest.IsBackwardSwitchEngaged,actuator,boolean,,,,,Head rest backward switch engaged.,Affects the property (SingleSeat.Headrest.Angle).,,,
Vehicle.Cabin.Seat.Airbag,branch,,,,,,Airbag signals.,,,,[]
Vehicle.Cabin.Seat.Airbag.IsDeployed,sensor,boolean,,,,,Airbag deployment status. True = Airbag deployed. False = Airbag not deployed.,,,,
Vehicle.Cabin.Seat.Switch,branch,,v5.0 - nested properties moved to Seat.<Property>.,,,,Seat switch signals,,,,[]
Vehicle.Cabin.Seat.Switch.IsWarmerEngaged,actuator,boolean,v5.0 - refactored to Seat.IsWarmerSwitchEngaged,,,,Warmer switch for Seat heater (SingleSeat.Heating).,,,,
Vehicle.Cabin.Seat.Switch.IsCoolerEngaged,actuator,boolean,v5.0 - refactored to Seat.IsCoolerSwitchEngaged,,,,Cooler switch for Seat heater (SingleSeat.Heating).,,,,
Vehicle.Cabin.Seat.Switch.IsForwardEngaged,actuator,boolean,v5.0 - refactored to Seat.IsForwardSwitchEngaged,,,,Seat forward switch engaged (SingleSeat.Position).,,,,
Vehicle.Cabin.Seat.Switch.IsBackwardEngaged,actuator,boolean,v5.0 - refactored to Seat.IsBackwardSwitchEngaged,,,,Seat backward switch engaged (SingleSeat.Position).,,,,
Vehicle.Cabin.Seat.Switch.IsUpEngaged,actuator,boolean,v5.0 - refactored to Seat.IsUpSwitchEngaged,,,,Seat up switch engaged (SingleSeat.Height).,,,,
Vehicle.Cabin.Seat.Switch.IsDownEngaged,actuator,boolean,v5.0 - refactored to Seat.IsDownSwitchEngaged,,,,Seat down switch engaged (SingleSeat.Height).,,,,
Vehicle.Cabin.Seat.Switch.IsTiltForwardEngaged,actuator,boolean,v5.0 - refactored to Seat.IsTiltForwardSwitchEngaged,,,,Tilt forward switch engaged (SingleSeat.Tilt).,,,,
Vehicle.Cabin.Seat.Switch.IsTiltBackwardEngaged,actuator,boolean,v5.0 - refactored to Seat.IsTiltBackwardSwitchEngaged,,,,Tilt backward switch engaged (SingleSeat.Tilt).,,,,
Vehicle.Cabin.Seat.Switch.Backrest,branch,,v5.0 - nested properties refactored to Seat.Backrest.<Property>,,,,Describes switches related to the backrest of the seat.,,,,[]
Vehicle.Cabin.Seat.Switch.Backrest.IsReclineForwardEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsReclineForwardSwitchEngaged,,,,Backrest recline forward switch engaged (SingleSeat.Backrest.Recline).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.IsReclineBackwardEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsReclineBackwardSwitchEngaged,,,,Backrest recline backward switch engaged (SingleSeat.Backrest.Recline).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar,branch,,v5.0 - nested properties refactored to Seat.Backrest.<Property>,,,,Switches for SingleSeat.Backrest.Lumbar.,,,,[]
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar.IsMoreSupportEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsMoreLumbarSupportSwitchEngaged,,,,Is switch for more lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar.IsLessSupportEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsLessLumbarSupportSwitchEngaged,,,,Is switch for less lumbar support engaged (SingleSeat.Backrest.Lumbar.Support).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar.IsUpEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsLumbarUpSwitchEngaged,,,,Lumbar up switch engaged (SingleSeat.Backrest.Lumbar.Support).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar.IsDownEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsLumbarDownSwitchEngaged,,,,Lumbar down switch engaged (SingleSeat.Backrest.Lumbar.Support).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.SideBolster,branch,,v5.0 - nested properties refactored to Seat.Backrest.<Property>,,,,Switches for SingleSeat.Backrest.SideBolster.,,,,[]
Vehicle.Cabin.Seat.Switch.Backrest.SideBolster.IsMoreSupportEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsMoreSideBolsterSupportSwitchEngaged,,,,Is switch for more side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).,,,,
Vehicle.Cabin.Seat.Switch.Backrest.SideBolster.IsLessSupportEngaged,actuator,boolean,v5.0 - refactored to Seat.Backrest.IsLessSideBolsterSupportSwitchEngaged,,,,Is switch for less side bolster support engaged (SingleSeat.Backrest.SideBolster.Support).,,,,
Vehicle.Cabin.Seat.Switch.Seating,branch,,v5.0 - nested properties moved to Seat.Seating.<Property>.,,,,Describes switches related to the seating of the seat.,,,,[]
Vehicle.Cabin.Seat.Switch.Seating.IsForwardEngaged,actuator,boolean,v5.0 - refactored to Seat.Seating.IsForwardSwitchEngaged,,,,Is switch to increase seating length engaged (SingleSeat.Seating.Length).,,,,
Vehicle.Cabin.Seat.Switch.Seating.IsBackwardEngaged,actuator,boolean,v5.0 - refactored to Seat.Seating.IsBackwardSwitchEngaged,,,,Is switch to decrease seating length engaged (SingleSeat.Seating.Length).,,,,
Vehicle.Cabin.Seat.Switch.Headrest,branch,,v5.0 - nested properties moved to to Seat.Headrest.<Property>,,,,Switches for SingleSeat.Headrest.,,,,[]
Vehicle.Cabin.Seat.Switch.Headrest.IsUpEngaged,actuator,boolean,v5.0 - refactored to to Seat.Headrest.IsUpSwitchEngaged,,,,Head rest up switch engaged (SingleSeat.Headrest.Height).,,,,
Vehicle.Cabin.Seat.Switch.Headrest.IsDownEngaged,actuator,boolean,v5.0 - refactored to to Seat.Headrest.IsDownSwitchEngaged,,,,Head rest down switch engaged (SingleSeat.Headrest.Height).,,,,
Vehicle.Cabin.Seat.Switch.Headrest.IsForwardEngaged,actuator,boolean,v5.0 - refactored to to Seat.Headrest.IsForwardSwitchEngaged,,,,Head rest forward switch engaged (SingleSeat.Headrest.Angle).,,,,
Vehicle.Cabin.Seat.Switch.Headrest.IsBackwardEngaged,actuator,boolean,v5.0 - refactored to to Seat.Headrest.IsBackwardSwitchEngaged,,,,Head rest backward switch engaged (SingleSeat.Headrest.Angle).,,,,
Vehicle.Cabin.Seat.Switch.Massage,branch,,v5.0 - nested properties moved to Seat.<Property>,,,,Switches for SingleSeat.Massage.,,,,[]
Vehicle.Cabin.Seat.Switch.Massage.IsIncreaseEngaged,actuator,boolean,v5.0 - refactored to Seat.IsIncreaseMassageLevelSwitchEngaged,,,,Increase massage level switch engaged (SingleSeat.Massage).,,,,
Vehicle.Cabin.Seat.Switch.Massage.IsDecreaseEngaged,actuator,boolean,v5.0 - refactored to Seat.IsDecreaseMassageLevelSwitchEngaged,,,,Decrease massage level switch engaged (SingleSeat.Massage).,,,,
Vehicle.Cabin.Seat.IsWarmerSwitchEngaged,actuator,boolean,,,,,Warmer switch for Seat heater.,Affects the property (SingleSeat.Heating).,,,
Vehicle.Cabin.Seat.IsCoolerSwitchEngaged,actuator,boolean,,,,,Cooler switch for Seat heater.,Affects the property (SingleSeat.Heating).,,,
Vehicle.Cabin.Seat.IsForwardSwitchEngaged,actuator,boolean,,,,,Seat forward switch engaged.,Affects the property (SingleSeat.Position).,,,
Vehicle.Cabin.Seat.IsBackwardSwitchEngaged,actuator,boolean,,,,,Seat backward switch engaged.,Affects the property (SingleSeat.Position).,,,
Vehicle.Cabin.Seat.IsUpSwitchEngaged,actuator,boolean,,,,,Seat up switch engaged.,Affects the property (SingleSeat.Height).,,,
Vehicle.Cabin.Seat.IsDownSwitchEngaged,actuator,boolean,,,,,Seat down switch engaged.,Affects the property (SingleSeat.Height).,,,
Vehicle.Cabin.Seat.IsTiltForwardSwitchEngaged,actuator,boolean,,,,,Tilt forward switch engaged.,Affects the property (SingleSeat.Tilt).,,,
Vehicle.Cabin.Seat.IsTiltBackwardSwitchEngaged,actuator,boolean,,,,,Tilt backward switch engaged.,Affects the property (SingleSeat.Tilt).,,,
Vehicle.Cabin.Seat.IsIncreaseMassageLevelSwitchEngaged,actuator,boolean,,,,,Increase massage level switch engaged.,Affects the property (SingleSeat.MassageLevel).,,,
Vehicle.Cabin.Seat.IsDecreaseMassageLevelSwitchEngaged,actuator,boolean,,,,,Decrease massage level switch engaged.,Affects the property (SingleSeat.MassageLevel).,,,
Vehicle.Cabin.Seat.HeatingCooling,actuator,int8,,percent,-100,100,"Heating or Cooling requsted for the Item. -100 = Maximum cooling, 0 = Heating/cooling deactivated, 100 = Maximum heating.",,,,
Vehicle.Cabin.DriverPosition,attribute,string,,,,,The position of the driver seat in row 1.,"Some signals use DriverSide and PassengerSide as instances. If this signal specifies that DriverPosition is LEFT or MIDDLE, then DriverSide refers to left side and PassengerSide to right side. If this signal specifies that DriverPosition is RIGHT, then DriverSide refers to right side and PassengerSide to left side.","['LEFT', 'MIDDLE', 'RIGHT']",,
Vehicle.Cabin.SeatRowCount,attribute,uint8,,,,,Number of seat rows in vehicle.,Default value corresponds to two rows of seats.,,2,
Vehicle.Cabin.SeatPosCount,attribute,uint8[],,,,,Number of seats across each row from the front to the rear.,Default value corresponds to two seats in front row and 3 seats in second row.,,"[2, 3]",
Vehicle.Cabin.Convertible,branch,,,,,,Convertible roof.,,,,[]
